statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Panama,PAN,2139.41,2303.80,2420.46,2549.87,2584.76,2739.23,2861.65,3017.30,3135.93,3304.35,3434.73,3659.50,3720.79,3812.69,3800.65,3764.70,3728.57,3674.15,3934.14,4011.95,4428.70,4723.08,4861.04,4537.46,4556.33,4676.21,4737.79,4552.22,3859.43,3837.30,4061.59,4352.26,4612.62,4765.08,4801.31,4786.36,4880.75,5091.18,5355.36,5454.86,5493.64,5419.11,5435.17,5558.10,5865.94,6172.87,6585.46,7242.25,7814.54,7772.39,8082.03,8841.56,9541.06,10027.35,10357.50,10765.91,11108.59,11501.16,11723.93
Papua New Guinea,PNG,1012.41,1055.71,1102.23,1125.20,1197.40,1293.15,1339.11,1362.95,1390.34,1470.94,1592.76,1653.57,1705.82,1774.00,1776.42,1717.67,1618.30,1590.89,1683.09,1669.84,1588.84,1542.62,1506.83,1514.01,1469.00,1488.43,1519.03,1522.54,1528.81,1471.10,1393.15,1490.72,1658.33,1915.50,1982.60,1872.06,1968.57,1845.73,1733.17,1723.82,1643.04,1606.15,1570.99,1572.82,1582.34,1646.30,1645.56,1784.79,1736.76,1811.19,1949.35,1928.28,1975.93,2010.15,2236.05,2399.84,2448.71,2437.66,2400.22
Paraguay,PRY,1364.33,1420.74,1429.51,1457.85,1479.61,1529.84,1519.43,1614.99,1644.22,1677.67,1726.93,1778.65,1851.84,1940.56,2053.48,2141.19,2245.52,2440.65,2663.84,2901.01,3152.70,3345.81,3205.18,3018.27,3014.01,3060.41,3121.61,3264.54,3362.65,3499.05,3547.55,3577.52,3547.63,3632.45,3734.96,3897.29,3868.90,3943.90,3861.79,3729.80,3570.35,3471.93,3406.23,3489.68,3569.45,3587.05,3702.82,3848.12,4037.05,3972.63,4355.93,4479.40,4394.54,4699.49,4861.29,4944.19,5089.61,5272.58,5394.46
Peru,PER,2659.53,2775.23,2967.70,3008.59,3115.18,3198.15,3365.54,3398.96,3310.95,3333.77,3352.03,3410.49,3433.41,3550.59,3780.11,3838.48,3792.28,3707.27,3517.33,3569.24,3687.80,3797.80,3698.65,3235.62,3274.50,3265.41,3492.40,3746.71,3318.84,2848.19,2650.21,2654.79,2589.34,2673.74,2947.03,3107.11,3135.41,3277.96,3208.22,3203.71,3242.58,3221.30,3359.16,3464.40,3603.00,3796.20,4047.75,4356.74,4716.20,4729.74,5082.35,5360.23,5642.58,5919.21,5996.48,6114.43,6262.73,6314.67,6453.92
Philippines,PHL,1059.47,1082.25,1096.91,1136.49,1138.54,1161.61,1176.70,1203.11,1226.32,1246.86,1257.04,1287.65,1319.35,1396.56,1405.85,1443.04,1527.19,1569.02,1605.67,1650.53,1688.69,1699.31,1713.26,1698.35,1531.71,1381.90,1391.19,1412.95,1469.08,1520.27,1527.10,1480.95,1450.18,1445.87,1474.18,1507.70,1559.68,1603.96,1559.66,1572.89,1607.20,1618.82,1642.94,1689.57,1767.44,1817.22,1878.50,1968.81,2016.81,2006.59,2124.06,2164.86,2270.53,2390.13,2495.58,2605.49,2743.20,2884.38,3021.99
Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5947.49,5510.66,5631.96,5827.65,6123.16,6539.95,6930.77,7373.63,7711.15,8069.77,8526.30,8635.07,8815.46,9135.66,9610.46,9950.59,10572.19,11322.07,11801.61,12126.22,12599.53,13224.58,13437.25,13632.51,14095.44,14646.31,15101.36,15826.38,16639.73
Portugal,PRT,4506.05,4717.32,4993.19,5265.18,5594.35,6036.76,6330.49,6851.41,7491.48,7719.32,8770.31,9391.61,10160.07,11294.58,11265.42,10373.80,10778.66,11262.33,11455.21,11972.13,12386.89,12478.65,12667.44,12586.98,12302.94,12613.79,13124.18,13965.45,15026.95,16018.13,16687.27,17456.39,17660.30,17278.30,17398.13,18080.55,18642.54,19380.98,20207.28,20874.58,21513.46,21777.41,21824.98,21540.07,21877.91,22004.80,22306.28,22817.32,22829.85,22128.85,22538.65,22159.48,21353.23,21228.09,21533.49,22016.84,22511.73,23197.44,23737.66
Puerto Rico,PRI,5831.72,6133.85,6507.18,6917.09,7261.87,7808.23,8294.67,8742.00,9138.26,9912.75,10611.39,11106.29,11670.35,12145.56,12242.55,11940.20,12477.87,13028.47,13750.27,14656.39,15097.66,15098.83,14705.51,14215.01,14908.95,15221.41,15826.47,16582.43,17396.88,17986.62,17320.81,17595.04,18279.72,18968.30,19579.59,20282.04,20519.81,21322.12,22372.42,23460.46,24161.17,25631.63,25833.20,25830.83,28084.94,27566.64,27293.45,27134.52,26790.84,26411.42,26435.75,26647.39,26979.67,27206.88,27325.66,27519.30,27703.52,27628.29,27340.65
Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60837.54,60892.10,62632.31,61063.26,65885.06,61649.39,65819.98,65183.53,65046.86,63218.84,67403.16,69679.09,67623.80,66360.59,65560.38,65137.06,64303.19,63632.60,63222.11
Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5379.07,4725.06,4349.93,4422.45,4603.02,4899.86,5106.02,4872.43,4783.42,4772.89,4896.70,5224.61,5624.60,5797.95,6439.15,6781.49,7369.49,8020.19,8913.98,8492.62,8209.92,8416.00,8629.14,8965.65,9306.24,9712.15,10236.86,11016.78,11534.86
Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9883.40,9549.99,9047.75,7729.63,7067.62,6186.90,5928.96,5714.63,5804.22,5505.70,5876.22,6491.09,6851.13,7206.21,7767.42,8360.27,8929.32,9693.21,10535.13,11087.82,10219.89,10675.00,11125.35,11517.59,11699.97,11573.50,11282.06,11298.48,11469.68,11729.09
Rwanda,RWA,331.90,310.99,340.04,301.47,258.98,271.03,282.51,293.28,304.17,327.14,336.24,330.27,321.52,322.92,317.79,301.58,349.10,344.64,363.87,393.49,414.20,422.30,416.23,426.70,393.94,394.95,397.37,377.58,377.41,367.48,358.08,359.17,401.92,395.19,207.46,285.33,312.25,332.97,334.20,323.44,331.41,346.53,383.13,385.61,408.45,438.68,468.39,491.84,532.37,550.74,576.05,605.57,642.97,656.97,689.70,732.01,755.87,780.77,826.34
Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2206.04,2201.84,2217.64,2293.88,2411.79,2417.11,2376.18,2455.69,2334.67,2264.36,2239.45,2308.54,2228.85,2358.58,2511.49,2514.39,2558.11,2602.43,2769.00,2945.33,3055.59,3174.19,3300.43,3415.86,3460.99,3656.16,3668.53,3467.67,3458.19,3628.36,3611.76,3511.66,3532.85,3560.18,3795.38,3881.74,3894.34
San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60713.06,64598.32,69618.45,70336.16,73306.62,72609.30,74404.68,76801.33,77600.26,79571.90,84216.25,84562.40,72803.73,68496.36,61183.86,55783.10,53346.97,52233.05,52034.76,52811.28,53337.59,..
Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,844.23,848.51,886.45,900.53,941.54,1000.62,1004.48,1056.10,1052.47,1094.71,1117.14,1128.51,1160.16,1213.16,1235.85,1263.37,1287.81,1297.36
Saudi Arabia,SAU,..,..,..,..,..,..,..,..,14252.62,14540.82,22133.90,25518.72,29935.80,35405.04,39152.08,33902.42,37981.32,38669.52,34789.68,36843.93,36703.14,35165.53,26158.19,20622.72,18525.13,15818.84,17604.06,15695.18,17017.15,16287.18,18105.91,20154.17,20339.37,19519.20,19142.06,18745.96,18841.03,18682.59,18857.63,17778.41,18352.03,17669.12,16696.41,18034.72,18901.01,19381.85,19367.58,19187.81,19832.65,18883.20,19262.55,20553.91,21006.64,20929.50,21087.35,21399.10,21270.47,20693.94,20775.20
Senegal,SEN,1360.38,1363.46,1324.80,1312.74,1326.17,1306.39,1306.20,1253.78,1294.66,1174.91,1238.30,1199.91,1238.30,1134.59,1148.62,1201.94,1276.15,1212.15,1136.77,1186.75,1117.85,1142.34,1196.64,1099.45,1106.50,1108.59,1108.94,1141.43,1100.90,1110.70,1070.54,1065.46,1047.03,1030.13,1001.43,1027.33,1021.81,1028.58,1063.97,1105.38,1114.08,1137.44,1117.32,1162.85,1200.52,1236.01,1233.93,1261.09,1277.53,1269.33,1278.98,1262.22,1290.36,1290.16,1337.41,1383.17,1430.36,1489.37,1546.52
Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3153.38,3233.10,3475.10,3573.09,3150.46,3405.78,3581.97,3840.40,4018.51,4392.28,4649.58,5120.81,5472.71,5806.89,5670.96,5735.42,5898.60,5886.89,6086.73,6018.17,6155.45,6394.46,6560.32,6880.53
Seychelles,SYC,2829.64,2616.87,2762.65,2966.28,3064.13,2956.45,3284.39,3220.81,3381.23,3301.75,3511.85,3987.09,4137.69,4443.87,4420.57,4456.80,5078.45,4665.23,5618.91,6450.74,6120.54,5549.82,5455.59,5368.84,5577.92,6148.43,6099.42,6103.37,6408.81,7084.07,7542.56,7648.21,8158.41,8485.29,8196.09,8009.79,8281.28,9163.69,9741.36,9730.70,9790.27,9559.55,9384.15,8932.20,8709.78,9450.28,10126.29,11124.66,10645.09,10486.19,10804.68,11967.36,11999.95,12489.31,12850.49,13187.61,13598.34,14014.87,14385.30
Sierra Leone,SLE,372.71,373.86,384.88,385.27,404.40,426.25,426.13,418.86,419.69,447.13,476.56,483.59,478.35,479.32,485.96,483.82,471.49,461.60,462.45,472.72,484.64,487.72,500.07,478.78,486.59,448.90,441.53,459.22,414.54,407.97,415.26,422.20,342.00,348.20,342.94,315.94,320.83,300.39,302.53,291.17,302.26,272.99,330.40,344.83,351.82,353.89,357.22,375.67,386.65,390.13,401.84,417.60,470.30,555.21,567.83,441.14,457.83,466.95,474.11
Singapore,SGP,3503.41,3663.88,3833.00,4112.58,3884.14,4087.87,4393.40,4835.01,5395.17,6049.81,6786.93,7490.82,8332.46,9045.34,9440.25,9673.87,10254.23,10806.09,11506.48,12447.68,13533.69,14293.54,14651.34,15699.51,16760.02,16632.92,16872.18,18414.98,19975.79,21368.45,22571.90,23406.04,24221.40,26323.45,28341.67,29473.46,30413.93,31856.59,30116.54,31586.97,33850.76,32597.62,33565.97,35609.68,38619.86,40498.71,42785.59,44742.42,43216.25,41983.07,47236.96,49159.38,50102.23,51671.15,52994.04,53883.82,54764.86,56740.75,58247.87
Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7675.59,7791.73,8242.70,8698.87,9267.03,9811.18,10191.11,10159.83,10296.71,10657.69,11143.76,11755.35,12376.06,13210.27,14326.26,15868.80,16747.81,15818.56,16600.61,17046.61,17299.63,17538.65,18003.54,18737.35,19298.07,19882.48,20669.90
Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15444.92,14061.38,13312.62,13723.82,14471.69,15062.82,15602.22,16422.25,16998.86,17882.66,18570.70,19088.33,19796.07,20346.42,21218.25,22029.43,23201.26,24673.44,25447.43,23252.10,23437.47,23540.71,22864.21,22574.71,23217.94,23735.24,24445.56,25621.93,26758.90
Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1298.61,1338.33,1466.05,1481.65,1572.59,1654.54,1634.50,1566.56,1550.86,1501.51,1252.74,1122.11,1061.91,1101.63,1126.55,1158.86,1210.62,1270.05,1329.96,1237.87,1290.40,1423.83,1449.76,1453.59,1446.44,1443.76,1454.32,1466.42,1477.01
Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,4624.06,4685.48,4852.77,5081.22,5347.32,5531.71,5631.00,5882.83,5970.56,6091.01,6244.06,6340.17,6274.49,6388.06,6601.91,6542.59,6523.64,6359.00,6391.86,6470.03,6722.18,6895.09,6682.45,6380.59,6527.39,6283.09,6130.92,6113.38,6224.39,6226.37,6059.78,5852.03,5585.74,5517.51,5563.48,5615.28,5745.09,5792.11,5728.48,5779.14,5937.61,6017.16,6161.45,6266.00,6472.09,6729.81,7017.69,7299.00,7432.09,7216.66,7328.59,7454.70,7500.02,7563.97,7582.67,7556.77,7482.96,7482.73,7439.92
South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1624.46,1630.71,1654.06,1525.58,799.55,883.44,895.96,787.28,691.69,..,..
Spain,ESP,7359.97,8155.17,8884.77,9652.37,10064.26,10578.11,11229.03,11573.10,12176.31,13130.82,13542.96,14002.87,14977.78,15966.92,16680.81,16590.88,16958.83,17261.66,17346.36,17201.26,17440.58,17294.10,17404.85,17626.85,17867.09,18215.74,18752.24,19741.19,20702.92,21668.26,22464.73,22978.13,23078.34,22722.15,23153.17,23686.84,24219.33,25007.89,25977.00,27032.22,28335.00,29264.88,29685.36,30082.63,30504.36,31110.01,31865.37,32459.92,32303.24,30874.13,30736.63,30321.70,29414.86,29008.02,29496.38,30595.16,31539.51,32402.68,33146.39
Sri Lanka,LKA,..,585.91,594.14,595.00,603.85,604.64,619.96,644.20,665.58,700.67,711.84,706.32,689.65,724.41,738.34,769.15,780.18,805.01,835.30,873.45,909.32,946.24,970.91,1003.19,1039.54,1076.14,1107.10,1110.29,1121.96,1132.42,1189.66,1229.49,1269.03,1342.37,1404.25,1469.43,1514.94,1602.94,1669.78,1732.38,1825.14,1784.19,1840.26,1933.19,2021.31,2130.13,2275.89,2412.69,2538.09,2609.69,2799.65,3014.58,3286.01,3371.18,3505.55,3647.39,3769.16,3854.25,3936.45
St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4273.69,4464.50,4831.65,5269.78,5381.80,5440.73,5537.16,6068.54,6639.75,7429.33,8000.37,8824.50,9374.21,9854.64,9642.19,9975.24,10540.33,10970.54,11435.52,11989.44,12694.28,12525.29,12812.03,13997.76,14596.19,14769.24,14079.43,14467.96,15690.13,15983.51,15828.54,16713.10,16012.55,15643.57,15783.84,15542.05,16246.98,17080.49,17300.97,17557.22,17619.39,18011.19
St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3383.23,3676.16,3758.55,3622.50,3799.24,3828.56,3966.99,4196.06,4473.56,5029.99,5131.20,5734.38,6137.96,6635.97,6566.93,7000.94,6960.80,6990.47,7026.14,7136.06,6988.90,7325.93,7425.78,7347.20,7031.75,7007.30,7254.34,7719.70,7612.70,7988.32,8043.69,8326.21,8099.86,8037.47,8300.61,8222.95,8019.47,7984.63,7969.29,8238.02,8496.57,8503.45
St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,1751.86,1804.61,1847.27,1711.77,1755.55,1752.55,1734.56,1553.74,1638.37,1668.19,1828.25,1862.30,2317.48,2036.91,1836.77,1678.42,1832.86,2053.90,2231.96,2285.42,2319.91,2406.11,2493.68,2528.55,2675.72,2821.26,2959.14,2952.77,3348.56,3378.51,3505.20,3535.40,3754.80,3911.41,3861.89,4162.55,4218.43,4369.60,4552.26,4677.54,4753.06,4829.29,5125.03,5507.47,5726.54,5863.50,6314.95,6531.14,6642.28,6509.22,6292.79,6262.87,6342.48,6447.63,6511.56,6581.57,6692.51,6727.45,6875.49
Sudan,SDN,897.40,874.22,909.93,860.25,827.40,859.02,805.05,793.26,785.52,773.22,794.91,788.63,726.20,708.59,765.24,857.48,968.21,995.01,905.20,831.21,815.64,846.75,866.89,855.40,786.64,715.00,732.33,814.00,790.33,839.02,772.96,809.81,841.02,856.86,843.08,870.30,897.50,965.89,980.41,983.44,1017.29,1053.69,1090.54,1142.51,1154.17,1206.51,1291.57,1401.20,1469.97,1477.74,1489.88,1597.98,1787.00,1821.31,1825.54,1869.55,1911.03,1945.71,1855.63
Suriname,SUR,3335.04,3400.10,3439.95,3538.82,3670.90,4003.09,4641.56,5060.98,5309.83,5441.56,5522.32,5717.41,5703.64,5646.90,5720.40,5920.53,6464.44,7129.67,7590.89,7530.23,6854.18,7328.10,7005.21,6706.81,6535.06,6595.15,6550.15,6032.83,6372.21,6502.66,6086.15,6131.87,6044.44,5542.29,5637.55,5551.48,5527.40,5765.95,5825.83,5675.72,5726.44,5896.47,5990.47,6293.39,6748.98,6971.00,7290.20,7573.71,7797.33,7940.65,8255.80,8639.95,8772.96,8930.55,8856.57,8464.65,7912.62,7967.02,8048.61
Sweden,SWE,18142.88,19083.56,19786.85,20723.94,21972.83,22598.67,22852.67,23441.24,24157.94,25190.52,26500.86,26567.76,27095.64,28122.28,28937.59,29558.67,29762.99,29184.06,29608.90,30678.86,31137.12,31241.26,31613.27,32199.54,33530.95,34198.81,35037.63,36092.11,36845.98,37572.66,37564.86,36882.11,36241.61,35287.43,36469.78,37737.36,38249.68,39341.10,40986.78,42792.37,44751.21,45333.48,46123.94,47037.01,48872.08,50048.09,52106.21,53483.96,52773.29,49606.84,52132.92,53126.97,52577.99,52779.95,53618.58,55418.98,56195.88,56610.68,57232.09
Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,49581.24,51331.80,52572.29,53777.23,54266.62,50336.30,49914.23,51302.60,51507.84,52685.26,54891.43,55466.16,54420.97,54534.43,55973.70,57774.34,58542.71,59098.52,60588.60,62703.53,64343.52,62962.39,62244.80,61602.79,61889.67,61773.10,61833.01,63127.74,64822.29,65607.21,67807.93,68264.53,67860.24,67385.30,68781.61,70471.44,72823.84,75143.70,75793.63,73189.19,74605.72,75029.76,74984.14,75499.71,76410.86,76553.28,76934.32,77451.98,78816.22
Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1380.56,1383.31,1322.50,1458.99,1324.77,1283.44,1166.53,812.90,668.55,518.20,447.11,366.94,367.63,381.45,389.60,415.46,447.91,488.08,531.93,576.44,603.25,633.34,668.95,707.13,719.21,749.55,787.23,827.11,867.94,904.48,936.00,976.14,1024.86,1073.02
Tanzania,TZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,494.28,497.35,515.69,509.19,495.01,484.38,476.53,479.32,488.04,493.15,499.76,511.95,522.08,539.53,562.32,583.31,609.64,637.01,659.80,684.88,703.59,719.72,743.40,777.23,788.44,817.12,846.39,872.00,904.38,937.30,957.13
Thailand,THA,570.86,583.84,609.45,638.74,662.17,695.16,749.71,790.44,829.77,858.57,929.09,946.88,959.70,1028.94,1046.42,1070.56,1142.05,1225.41,1321.60,1362.92,1404.00,1457.65,1506.68,1561.71,1621.78,1666.75,1727.34,1857.89,2068.51,2284.03,2503.80,2686.06,2874.13,3083.19,3299.35,3531.75,3690.24,3546.37,3236.37,3345.59,3458.35,3544.44,3731.26,3969.73,4190.48,4337.88,4525.96,4745.30,4801.88,4744.76,5076.34,5094.47,5437.87,5558.72,5589.31,5741.34,5911.95,6128.66,6361.62
Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1325.68,1420.61,1292.26,1244.06,1989.22,2639.82,3661.66,3780.23,4080.39,3766.61,3656.95,4004.09,4131.57,3608.87,2626.02,3109.47,3072.42,2737.35,2759.53
Togo,TGO,355.93,394.99,406.02,421.36,472.77,530.98,559.53,564.40,565.23,599.02,590.73,571.78,598.42,606.34,621.28,622.23,596.11,623.92,677.28,626.14,696.81,651.80,606.18,552.27,561.81,572.58,562.63,547.80,566.92,573.72,557.81,541.19,508.72,423.01,475.58,500.07,528.93,586.48,554.87,551.03,530.74,507.85,490.15,501.54,499.32,492.27,498.77,496.62,502.95,516.58,533.51,552.65,573.35,592.57,611.54,630.30,644.86,657.05,672.49
Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2205.68,2304.53,2348.01,2387.32,2540.97,2589.51,2660.23,2602.72,2605.71,2546.59,2704.92,2707.38,2803.94,2937.21,3038.72,3029.65,3014.83,3083.62,3188.53,3279.46,3379.84,3476.51,3529.61,3495.13,3526.25,3470.07,3297.15,3373.10,3433.39,3553.22,3667.14,3729.50,3647.52,3750.38,3899.13,4016.87,4090.34,4054.94
Trinidad and Tobago,TTO,4006.72,4480.18,4526.51,4713.20,5012.88,4997.14,5157.56,5228.67,5468.49,5579.51,5726.72,5723.45,5976.77,5989.93,6127.63,6129.36,6431.79,6923.23,7512.98,7673.55,8345.13,8590.58,8773.36,7744.86,7192.01,6806.11,6510.08,6155.06,5866.59,5776.15,5823.66,5965.90,6527.78,6447.95,6646.41,6873.89,7344.69,7882.81,8510.78,9177.47,9785.91,10157.93,10916.23,12430.88,13350.86,14110.04,15899.40,16580.32,17064.53,16234.98,16683.36,16534.27,16640.63,16863.05,16593.60,16790.19,15614.83,15246.12,15288.93
Tunisia,TUN,..,..,..,..,..,1112.56,1127.91,1106.03,1194.77,1224.17,1253.39,1355.64,1561.46,1517.40,1603.86,1680.37,1772.14,1791.27,1862.53,1936.72,2027.11,2081.04,2012.61,2047.07,2104.70,2164.63,2079.89,2166.56,2118.72,2107.61,2224.85,2260.88,2384.72,2386.50,2415.13,2429.27,2563.00,2665.69,2759.52,2895.02,3001.78,3088.51,3104.84,3226.65,3401.52,3490.68,3639.73,3844.93,3965.65,4043.15,4141.98,4022.24,4142.49,4220.39,4302.49,4308.42,4314.95,4343.92,4402.02
Turkey,TUR,3175.04,3134.78,3230.70,3440.26,3542.54,3556.87,3862.84,3950.92,4119.96,4187.50,4221.15,4350.81,4563.18,4600.75,4744.44,4967.40,5362.49,5421.24,5380.77,5228.53,4986.68,5111.19,5174.05,5310.34,5544.20,5659.39,5936.07,6375.47,6404.02,6308.83,6774.62,6709.09,6932.12,7343.32,6889.81,7315.40,7731.42,8186.50,8244.75,7842.84,8237.60,7631.56,8003.45,8331.57,9009.47,9692.12,10252.36,10640.42,10602.86,9976.15,10672.39,11678.13,12039.30,12842.16,13277.76,13853.10,14062.73,14870.68,15026.71
Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2789.78,3020.57,2817.86,3713.36,3443.98,2845.46,2808.25,2263.55,2054.28,2151.27,1876.37,1983.01,2282.97,2381.17,2458.51,2440.28,2495.29,2593.51,2899.96,3181.07,3489.33,3949.04,4129.54,4439.20,5006.27,5462.92,5909.66,6399.17,6693.93,6987.07,7318.07,7647.94
Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21028.41,..,..,..,..,..,..,..,..
Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2405.79,2461.41,2506.17,2585.92,2833.97,2678.83,2512.38,2763.70,3189.02,3134.45,3088.17,3108.85,3314.87,3161.54,3073.60,2918.68,2945.76,3101.88,3319.30,3138.69,3022.29,3217.97,3063.99,3169.40,3178.45,3429.36,3493.77,3590.43,3636.06
Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,305.61,313.29,302.36,282.80,274.27,275.23,287.54,295.20,303.60,309.77,309.86,324.91,334.92,362.18,383.40,391.37,398.86,418.56,418.98,427.35,450.30,464.44,480.50,495.00,531.36,558.19,587.95,608.36,622.50,659.63,663.49,665.42,676.34,686.98,694.01,694.29,709.67
Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4020.58,4105.52,4243.77,3965.38,3624.29,3263.37,2797.57,2166.69,1917.45,1741.09,1704.31,1686.94,1699.52,1818.00,2005.38,2131.73,2353.60,2658.69,2758.52,2983.86,3229.65,3322.00,2844.32,2965.14,3138.47,3153.74,3160.08,3123.92,2828.89,2909.65,2994.52,3110.19
United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103604.91,103766.65,109318.64,94683.68,102668.63,116232.75,113095.34,99319.61,89704.04,88583.38,80886.47,64972.42,63352.29,58146.80,61588.09,68780.59,65478.71,63853.89,61081.37,61843.21,62681.61,63076.61,64864.72,61773.87,60291.51,63251.52,60861.27,59187.21,60351.14,60328.32,56092.92,53335.03,47283.90,42456.80,36024.06,33893.30,34634.86,35416.89,36978.83,38537.27,40276.09,41045.11,40819.13,40782.37
